WP5Country,year,Happiness,GDP,SocialSupport,LifeExp,Freedomtomakelifechoices,Generosity,Perceptionsofcorruption,Positiveaffect,Negativeaffect,ConfidenceNation,DemocraticQuality
Afghanistan,2008,3.72358989715576,Low,Poor,Less,.71811431646347,.183061942458153,.881686329841614,.517637193202972,.258195489645004,Strong,-1.96272432804108
Afghanistan,2009,4.40177822113037,Low,Poor,Less,.678896367549896,.204633221030235,.850035429000854,.583925604820251,.237092420458794,Strong,-2.08245062828064
Afghanistan,2010,4.75838088989258,Low,Poor,Less,.600127220153809,.138528779149055,.706766068935394,.618265450000763,.275323808193207,Weak,-2.015700340271
Afghanistan,2011,3.83171916007996,Low,Poor,Less,.49590140581131,.176107883453369,.731108546257019,.611387312412262,.267174690961838,Weak,-1.94368600845337
Afghanistan,2012,3.78293752670288,Low,Poor,Less,.530935049057007,.247712820768356,.775619804859161,.710384726524353,.26791912317276,Average,-1.85589802265167
Afghanistan,2013,3.57210040092468,Low,Poor,Less,.577955365180969,.07518570125103,.823204100131989,.620584845542908,.273328095674515,Average,-1.89603304862976
Afghanistan,2014,3.13089561462402,Low,Poor,Less,.508514046669006,.118933707475662,.87124198675156,.531691491603851,.37486073374748,Average,-1.81001126766205
Albania,2007,4.63425159454346,Moderate,Fair,More,.528604745864868,-.007585162762553,.874699532985687,.552677571773529,.246335029602051,Weak,-.052545309066773
Albania,2012,5.51012420654297,Moderate,Fair,More,.601512134075165,-.168962299823761,.847675204277039,.60663592815399,.271393239498138,Average,-.08025535941124
Albania,2013,4.5506477355957,Moderate,Fair,More,.631830275058746,-.12743279337883,.862904965877533,.633608877658844,.338378578424454,Average,.046827606856823
Albania,2014,4.81376314163208,Moderate,Poor,More,.734648406505585,-.025123491883278,.882704436779022,.684910535812378,.33454266190529,Average,.318415492773056
Angola,2011,5.5890007019043,Moderate,Poor,Less,.58370178937912,.058454342186451,.911320328712463,.658646523952484,.361063152551651,Weak,-.741373240947723
Angola,2012,4.3602499961853,Moderate,Poor,Less,.456028580665588,-.130923137068748,.906300485134125,.557908117771149,.304890066385269,Weak,-.726118743419647
Angola,2013,3.93710684776306,Moderate,Poor,Less,.40955486893654,-.100076638162136,.8163754940033,.65828377008438,.370875000953674,Average,-.752881705760956
Angola,2014,3.79483795166016,Moderate,Fair,Less,.37454155087471,-.164495497941971,.834075629711151,.578517138957977,.36786413192749,Average,-.705553829669952
Argentina,2006,6.31292533874512,Moderate,Excellent,More,.733003675937653,-.140367165207863,.851799488067627,.824682414531708,.328230023384094,Average,.188937559723854
Argentina,2007,6.07315826416016,Moderate,Good,More,.652832627296448,-.124788954854012,.88105773925781,.827919721603394,.279007971286774,Average,.267616599798203
Argentina,2008,5.96103429794312,Moderate,Good,More,.67822217941284,-.117866933345795,.864996254444122,.823408544063568,.31822228431702,Weak,.117113567888737
Argentina,2009,6.42413330078125,Moderate,Excellent,More,.636646449565887,-.121117196977139,.884742200374603,.863785564899445,.236901476979256,Weak,.004792824387551
Argentina,2010,6.44106721878052,Moderate,Excellent,More,.730258166790009,-.116923823952675,.854695439338684,.846135556697845,.210975497961044,Average,.121494270861149
Argentina,2011,6.77580547332764,Moderate,Good,More,.815802037715912,-.167894512414932,.75464570522308,.840047895908356,.231855154037476,Strong,.227558061480522
Armenia,2006,4.28931093215942,Moderate,Poor,More,.520197808742523,-.214534744620323,.849513113498688,.494120985269547,.469418823719025,Average,-.510571479797363
Armenia,2007,4.88151550292969,Moderate,Fair,More,.605410754680634,-.235377505421638,.817444860935211,.507100820541382,.411717414855957,Average,-.324284911155701
